S20901660013 05262978170000251014100129128128          0526297817                                                               
D2012025101433670     0114987476113310Ä×È·»Ñ»Ý ¼ÞÖ³ 250MG   PTP  250MG    100T00002000000945000001890000010402804  Y25E05       
D2012025101433670     0214987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00001000000869000000869000010102709  H60425       
D2012025101433670     0314987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00002000000869000001738000010102709  H60425       
D2012025101433670     0414987035209614ÚÊÞÐËßÄÞ ¼ÞÖ³ 100MG   PTP  100MG    100T00001000000836000000836000010402804  5D94RT2      
D2012025101433670     0514987035209614ÚÊÞÐËßÄÞ ¼ÞÖ³ 100MG   PTP  100MG    100T00002000000836000001672000010402804  5D94RT2      
D2012025101433670     061498712312712725MG ±ØÅÐÝ F Ä³²¼ÞÖ³  PTP   25MG    100T00001000000519000000519000006103003  KK021        
D2012025101433670     0714987476170306±ÑÊÞÛ Ê²ºÞ³¼ÞÖ³ ¢YD£  PTP           100T00001000001382000001382000015202802  Y25C01       
D2012025101433670     0814987376315814²Ì´ÝÌßÛ¼ÞÙ¼Õ¾·»Ý´Ý ¼Á²º³£ PTP 10MG  100T00001000000536000000536000005902803  K00200       
D2012025101433671     0114987058565032ÌÙÆÄ×¾ÞÊßÑ ¼ÞÖ³ 1MG   PTP    1MG    100T00002000000518000001036000005902804  2503         
E200000110000092510141001                                                                                                       
